original_split,original_image_path,original_label_path,quarantine_image_path,quarantine_label_path,image_sha256,label_sha256,reason
train,data/vision/solar_panel_defects/train/images/Bird-2-_jpeg.rf.dc29899262a73ca43af321bbd1b57872.jpg,data/vision/solar_panel_defects/train/labels/Bird-2-_jpeg.rf.dc29899262a73ca43af321bbd1b57872.txt,data/vision/quarantine/empty_labels/train/images/Bird-2-_jpeg.rf.dc29899262a73ca43af321bbd1b57872.jpg,data/vision/quarantine/empty_labels/train/labels/Bird-2-_jpeg.rf.dc29899262a73ca43af321bbd1b57872.txt,b7fc16fe7e78b0ab7935f2e7442d6706f746c1be821c5f0d4b019f0f899355fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Visible solar panels with empty annotation; cannot safely treat as background because clean is an object class.
train,data/vision/solar_panel_defects/train/images/Bird-84-_jpg.rf.b49fdfac8454ae571085477f1e14d981.jpg,data/vision/solar_panel_defects/train/labels/Bird-84-_jpg.rf.b49fdfac8454ae571085477f1e14d981.txt,data/vision/quarantine/empty_labels/train/images/Bird-84-_jpg.rf.b49fdfac8454ae571085477f1e14d981.jpg,data/vision/quarantine/empty_labels/train/labels/Bird-84-_jpg.rf.b49fdfac8454ae571085477f1e14d981.txt,30667b8b32ded1c54eb7782296fcca72a19477c176d79783b6e20297554c2210,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Visible solar panels with empty annotation; cannot safely treat as background because clean is an object class.
train,data/vision/solar_panel_defects/train/images/Cleaan-25-_jpg.rf.af2661ff815ee54419a34e8fac590b22.jpg,data/vision/solar_panel_defects/train/labels/Cleaan-25-_jpg.rf.af2661ff815ee54419a34e8fac590b22.txt,data/vision/quarantine/empty_labels/train/images/Cleaan-25-_jpg.rf.af2661ff815ee54419a34e8fac590b22.jpg,data/vision/quarantine/empty_labels/train/labels/Cleaan-25-_jpg.rf.af2661ff815ee54419a34e8fac590b22.txt,e22587b16d2b0b0e1cbcc0c169f3673ed1397f18214c49cdf0495540da9dd95a,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Visible solar panels with empty annotation; cannot safely treat as background because clean is an object class.
train,data/vision/solar_panel_defects/train/images/Dust-108-_jpg.rf.a733fa9cf63fcfdb113c89eb9af26f82.jpg,data/vision/solar_panel_defects/train/labels/Dust-108-_jpg.rf.a733fa9cf63fcfdb113c89eb9af26f82.txt,data/vision/quarantine/empty_labels/train/images/Dust-108-_jpg.rf.a733fa9cf63fcfdb113c89eb9af26f82.jpg,data/vision/quarantine/empty_labels/train/labels/Dust-108-_jpg.rf.a733fa9cf63fcfdb113c89eb9af26f82.txt,f7abfdfb3671cb7de39b96b310ebfd5dd732cd67c2ca10d9312ee45160a3dbfe,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Visible solar panels with empty annotation; cannot safely treat as background because clean is an object class.
train,data/vision/solar_panel_defects/train/images/Dust-115-_jpg.rf.0ae50e2e7f2f133be79919132d11905e.jpg,data/vision/solar_panel_defects/train/labels/Dust-115-_jpg.rf.0ae50e2e7f2f133be79919132d11905e.txt,data/vision/quarantine/empty_labels/train/images/Dust-115-_jpg.rf.0ae50e2e7f2f133be79919132d11905e.jpg,data/vision/quarantine/empty_labels/train/labels/Dust-115-_jpg.rf.0ae50e2e7f2f133be79919132d11905e.txt,936edd51646c118d115248d4e2173dba4d9015dc492d4f302b59cffff4f80a42,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Visible solar panels with empty annotation; cannot safely treat as background because clean is an object class.
train,data/vision/solar_panel_defects/train/images/Dust-122-_jpg.rf.e0f0ba20838cd344f257ede69850e712.jpg,data/vision/solar_panel_defects/train/labels/Dust-122-_jpg.rf.e0f0ba20838cd344f257ede69850e712.txt,data/vision/quarantine/empty_labels/train/images/Dust-122-_jpg.rf.e0f0ba20838cd344f257ede69850e712.jpg,data/vision/quarantine/empty_labels/train/labels/Dust-122-_jpg.rf.e0f0ba20838cd344f257ede69850e712.txt,e25c273cceac8cf076df7dbf2328a73a12119773da50f7e7d04d5a05c02ea6a8,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Visible solar panels with empty annotation; cannot safely treat as background because clean is an object class.
train,data/vision/solar_panel_defects/train/images/Dust-15-_jpg.rf.895e336dd750f77b3bb66b69405085cb.jpg,data/vision/solar_panel_defects/train/labels/Dust-15-_jpg.rf.895e336dd750f77b3bb66b69405085cb.txt,data/vision/quarantine/empty_labels/train/images/Dust-15-_jpg.rf.895e336dd750f77b3bb66b69405085cb.jpg,data/vision/quarantine/empty_labels/train/labels/Dust-15-_jpg.rf.895e336dd750f77b3bb66b69405085cb.txt,6895d14525a9d1b3e8fe22a3c167c143f593c35ed0e202fa0cfd64d42d7a1842,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Visible solar panels with empty annotation; cannot safely treat as background because clean is an object class.
train,data/vision/solar_panel_defects/train/images/Dust-157-_jpg.rf.d84265dd4bfabef0feba4bff23f0a70a.jpg,data/vision/solar_panel_defects/train/labels/Dust-157-_jpg.rf.d84265dd4bfabef0feba4bff23f0a70a.txt,data/vision/quarantine/empty_labels/train/images/Dust-157-_jpg.rf.d84265dd4bfabef0feba4bff23f0a70a.jpg,data/vision/quarantine/empty_labels/train/labels/Dust-157-_jpg.rf.d84265dd4bfabef0feba4bff23f0a70a.txt,bc413f15890dd47cc2ab9747de4b85a99b4d03d0cff327704d698ba87ff857e8,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Visible solar panels with empty annotation; cannot safely treat as background because clean is an object class.
train,data/vision/solar_panel_defects/train/images/Dust-165-_jpg.rf.f4161e43f01eca8187137dd2daf5bad1.jpg,data/vision/solar_panel_defects/train/labels/Dust-165-_jpg.rf.f4161e43f01eca8187137dd2daf5bad1.txt,data/vision/quarantine/empty_labels/train/images/Dust-165-_jpg.rf.f4161e43f01eca8187137dd2daf5bad1.jpg,data/vision/quarantine/empty_labels/train/labels/Dust-165-_jpg.rf.f4161e43f01eca8187137dd2daf5bad1.txt,015ca2cbcc5ad1ac4d5c4dc52a3347fd60a0207e1aeec921197257fa10c7eb28,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Visible solar panels with empty annotation; cannot safely treat as background because clean is an object class.
train,data/vision/solar_panel_defects/train/images/Dust-192-_jpg.rf.5fc84c693b9bb421a5cc1029732522ea.jpg,data/vision/solar_panel_defects/train/labels/Dust-192-_jpg.rf.5fc84c693b9bb421a5cc1029732522ea.txt,data/vision/quarantine/empty_labels/train/images/Dust-192-_jpg.rf.5fc84c693b9bb421a5cc1029732522ea.jpg,data/vision/quarantine/empty_labels/train/labels/Dust-192-_jpg.rf.5fc84c693b9bb421a5cc1029732522ea.txt,35fd6efa5e47fd3f12ae6a6f70e22e9aee632c79f964cae688ed539dc5d65b28,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Visible solar panels with empty annotation; cannot safely treat as background because clean is an object class.
